IMDB_Rating,Director,Runtime,Genre,GoodMovie
8.2,Terry Gilliam,91,"Adventure, Comedy, Fantasy",1
7.7,Jonathan Demme,125,Drama,0
7.6,Joseph Kosinski,134,"Action, Biography, Drama",0
8.6,Thomas Kail,160,"Biography, Drama, History",1
8.1,David Yates,130,"Adventure, Drama, Fantasy",1
7.6,Alejandro G. Iñárritu,124,"Crime, Drama, Thriller",0
8,Frank Miller,124,"Crime, Thriller",0
8.1,Richard Linklater,80,"Drama, Romance",1
7.7,Josh Boone,126,"Drama, Romance",0
8,Ömer Faruk Sorak,127,"Adventure, Comedy, Sci-Fi",0
8.2,Yasujirô Ozu,136,Drama,1
8,Taylor Hackford,180,"Crime, Drama",0
8,Jacques Tourneur,97,"Crime, Drama, Film-Noir",0
8.6,Akira Kurosawa,207,"Action, Adventure, Drama",1
8.2,Ingmar Bergman,99,"Drama, Music",1
7.8,David Fincher,166,"Drama, Fantasy, Romance",0
7.8,Andrew Adamson,90,"Animation, Adventure, Comedy",0
8.1,Nuri Bilge Ceylan,196,Drama,1
8.2,Joseph L. Mankiewicz,138,Drama,1
8,Frank Capra,118,"Comedy, Crime, Thriller",0
8,Mike Leigh,136,"Comedy, Drama",0
7.8,Michael Mann,157,"Biography, Drama, Thriller",0
7.7,Kar-Wai Wong,99,"Comedy, Crime, Drama",0
7.8,Guy Ritchie,113,"Action, Comedy, Crime",0
7.9,J.J. Abrams,127,"Action, Adventure, Sci-Fi",0
7.8,James Whale,70,"Drama, Horror, Sci-Fi",0
7.8,John Huston,129,"Adventure, History, War",0
7.8,Paolo Sorrentino,141,Drama,0
7.7,Brian Henson,85,"Comedy, Drama, Family",0
8,Yilmaz Erdogan,110,"Comedy, Drama",0
8.1,Lasse Hallström,93,"Biography, Drama, Family",1
8,Steven Spielberg,124,"Adventure, Thriller",0
7.8,Mark Herman,94,"Drama, History, War",0
7.7,Paul Greengrass,108,"Action, Mystery, Thriller",0
8.4,Bob Persichetti,117,"Animation, Action, Adventure",1
7.7,Todd Solondz,134,"Comedy, Drama",0
