,Title,World Sales (in $),IMDB_Rating,Runtime,Genre,Director
136,The Silence of the Lambs,272742922,8.6,118 min,"Crime, Drama, Thriller",Jonathan Demme
137,American Gangster,269755430,7.8,157 min,"Biography, Crime, Drama",Ridley Scott
138,American Beauty,356296601,8.3,122 min,Drama,Sam Mendes
139,Kingsman: The Secret Service,414351546,7.7,129 min,"Action, Adventure, Comedy",Matthew Vaughn
140,Shutter Island,294805697,8.2,138 min,"Mystery, Thriller",Martin Scorsese
141,The Curious Case of Benjamin Button,335802786,7.8,166 min,"Drama, Fantasy, Romance",David Fincher
142,The Truman Show,264118201,8.1,103 min,"Comedy, Drama",Peter Weir
143,Life of Pi,609016565,7.9,127 min,"Adventure, Drama, Fantasy",Ang Lee
144,The Fault in Our Stars,307166834,7.7,126 min,"Drama, Romance",Josh Boone
145,The Bourne Identity,214034224,7.9,119 min,"Action, Mystery, Thriller",Doug Liman
146,Inglourious Basterds,321457747,8.3,153 min,"Adventure, Drama, War",Quentin Tarantino
147,Walk the Line,186797986,7.8,136 min,"Biography, Drama, Music",James Mangold
148,Back to the Future Part II,332500002,7.8,108 min,"Adventure, Comedy, Sci-Fi",Robert Zemeckis
149,Ford v Ferrari,225508210,8.1,152 min,"Action, Biography, Drama",James Mangold
150,The Wolf of Wall Street,392000694,8.2,180 min,"Biography, Crime, Drama",Martin Scorsese
151,Remember the Titans,136771683,7.8,113 min,"Biography, Drama, Sport",Boaz Yakin
152,District 9,210888950,7.9,112 min,"Action, Sci-Fi, Thriller",Neill Blomkamp
153,The Last Samurai,454627263,7.7,154 min,"Action, Drama",Edward Zwick
154,Creed,173567581,7.6,133 min,"Drama, Sport",Ryan Coogler
155,Black Hawk Down,172989651,7.7,144 min,"Drama, History, War",Ridley Scott
156,Little Women,216601214,7.8,135 min,"Drama, Romance",Greta Gerwig
157,Pulp Fiction,213928762,8.9,154 min,"Crime, Drama",Quentin Tarantino
158,Baby Driver,226945087,7.6,113 min,"Action, Crime, Drama",Edgar Wright
159,Watchmen,185382813,7.6,162 min,"Action, Drama, Mystery",Zack Snyder
160,Captain Phillips,218791811,7.8,134 min,"Adventure, Biography, Crime",Paul Greengrass
161,Black Swan,329398046,8.0,108 min,"Drama, Thriller",Darren Aronofsky
162,Road to Perdition,181001478,7.7,117 min,"Crime, Drama, Thriller",Sam Mendes
163,The Girl with the Dragon Tattoo,232617430,7.8,158 min,"Crime, Drama, Mystery",David Fincher
164,Unforgiven,159157447,8.2,130 min,"Drama, Western",Clint Eastwood
165,Arrival,203388186,7.9,116 min,"Drama, Sci-Fi",Denis Villeneuve
166,Million Dollar Baby,216763646,8.1,132 min,"Drama, Sport",Clint Eastwood
167,Edge of Tomorrow,370541256,7.9,113 min,"Action, Adventure, Sci-Fi",Doug Liman
168,Se7en,327333559,8.6,127 min,"Crime, Drama, Mystery",David Fincher
169,The Social Network,224920375,7.7,120 min,"Biography, Drama",David Fincher
170,Schindler's List,322161245,8.9,195 min,"Biography, Drama, History",Steven Spielberg
171,The Others,209947037,7.6,101 min,"Horror, Mystery, Thriller",Alejandro Amenábar
172,The Fighter,129190869,7.8,116 min,"Biography, Drama, Sport",David O. Russell
173,The Magnificent Seven,162360636,7.7,128 min,"Action, Adventure, Western",John Sturges
174,Blade Runner 2049,259334548,8.0,164 min,"Action, Drama, Mystery",Denis Villeneuve
175,The Imitation Game,233555708,8.0,114 min,"Biography, Drama, Thriller",Morten Tyldum
176,Mystic River,156595191,7.9,138 min,"Crime, Drama, Mystery",Clint Eastwood
177,Inside Man,186003591,7.6,129 min,"Crime, Drama, Mystery",Spike Lee
178,Aliens,131060248,8.3,137 min,"Action, Adventure, Sci-Fi",James Cameron
179,Green Book,321752656,8.2,130 min,"Biography, Comedy, Drama",Peter Farrelly
180,Die Hard,141603197,8.2,132 min,"Action, Thriller",John McTiernan
181,Apocalypse Now,92158064,8.4,147 min,"Drama, Mystery, War",Francis Ford Coppola
182,Brokeback Mountain,178062759,7.7,134 min,"Drama, Romance",Ang Lee
183,Alien,106285522,8.4,117 min,"Horror, Sci-Fi",Ridley Scott
184,The Notebook,117815157,7.8,123 min,"Drama, Romance",Nick Cassavetes
