Runtime,Genre,Director
120,Drama,Susanne Bier
109,"Comedy, Crime, Drama",Martin Scorsese
133,Drama,Barry Levinson
137,"Drama, War",Cary Joji Fukunaga
90,"Action, Thriller",Pierre Morel
130,Drama,Jon Avnet
133,"Drama, Mystery, Romance",Jean-Pierre Jeunet
99,"Comedy, Horror",Edgar Wright
157,"Crime, Drama",Nuri Bilge Ceylan
110,"Action, Crime, Drama",Paul McGuigan
201,"Action, Adventure, Drama",Peter Jackson
148,"Action, Adventure, Sci-Fi",Christopher Nolan
130,"Action, Crime, Drama",Andrew Davis
120,"Drama, Mystery, Thriller",David Lynch
154,"Drama, Music, Romance",Zoya Akhtar
120,"Biography, Drama, History",Fred Zinnemann
85,"Comedy, Crime",David Zucker
88,Comedy,Jim Abrahams
111,"Animation, Adventure, Comedy",Brad Bird
110,"Drama, Fantasy, Mystery",Neil Burger
87,"Comedy, Music, Musical",Richard Lester
135,"Drama, Music, Romance",Michael Powell
94,Comedy,Terry Jones
105,Comedy,Gene Saks
119,"Action, Mystery, Thriller",Doug Liman
146,"Biography, Crime, Drama",Martin Scorsese
142,Drama,Frank Darabont
99,"Comedy, Drama, Romance",Ernst Lubitsch
94,"Animation, Adventure, Comedy",Hayao Miyazaki
127,"Crime, Drama, Mystery",David Fincher
119,"Crime, Drama, Romance",Tony Scott
100,"Animation, Adventure, Comedy",Nathan Greno
153,"Drama, Family, Sport",Shimit A
94,"Drama, Music, Mystery",Krzysztof Kieslowski
106,Comedy,Mel Brooks
124,"Biography, Crime, Drama",Ted Demme
113,Drama,Mikael Håfström
114,"Crime, Film-Noir, Mystery",Howard Hawks
105,"Comedy, Drama",Alfonso Gomez-Rejon
138,"Drama, Sci-Fi",Steven Spielberg
128,"Action, Adventure, Western",John Sturges
113,"Adventure, Biography, Drama",Ericson Core
90,"Animation, Adventure, Comedy",Ron Clements
106,"Drama, Music",Damien Chazelle
127,"Adventure, Family, Fantasy",Matthew Vaughn
140,"Biography, Drama, Music",Olivier Dahan
119,"Drama, Mystery",Asghar Farhadi
102,"Comedy, Crime, Drama",Kar-Wai Wong
98,"Crime, Drama, Thriller",Joel Coen
149,"Action, Adventure, Sci-Fi",Anthony Russo
131,"Action, Adventure, Drama",Kevin Reynolds
96,"Crime, Drama",Sidney Lumet
104,"Comedy, Crime",Guy Ritchie
160,"Action, Comedy, Romance",Rajkumar Santoshi
91,"Horror, Thriller",John Carpenter
145,"Drama, Romance, Thriller",Chan-wook Park
156,"Action, Drama",Prashanth Neel
111,"Animation, Drama, Family",Yoshifumi Kondô
112,"Drama, Mystery, Romance",Pedro Almodóvar
90,"Drama, Romance",Alain Resnais
154,"Drama, Thriller",Alejandro G. Iñárritu
132,"Crime, Drama, Mystery",Meghna Gulzar
110,"Biography, Drama, History",Carl Theodor Dreyer
133,Drama,Milos Forman
103,"Comedy, Family",Chris Columbus
114,"Adventure, Drama, Fantasy",Alejandro Jodorowsky
120,"Comedy, Crime",Jonathan Lynn
134,Drama,Vikramaditya Motwane
129,"Comedy, Drama",Jean-Marc Vallée
118,Drama,Elia Kazan
131,"Action, Adventure, Fantasy",Richard Marquand
122,"Crime, Drama, Thriller",Antoine Fuqua
98,"Animation, Adventure, Comedy",Mamoru Hosoda
165,Drama,Karan Johar
147,"Action, Adventure, Thriller",Christopher McQuarrie
124,"Drama, Music, Musical",Bob Fosse
97,"Adventure, Comedy, Drama",Tyler Nilson
133,"Drama, Sport",Ryan Coogler
102,"Comedy, Drama",Sofia Coppola
109,"Adventure, Drama, Thriller",John Boorman
92,"Drama, Sci-Fi",Robert Wise
101,Drama,Marc Webb
119,"Action, Crime, Drama",Jeong-beom Lee
87,"Action, Crime, Comedy",Thomas Jahn
75,"Drama, Horror, Sci-Fi",James Whale
98,"Comedy, Drama, War",Danis Tanovic
112,"Mystery, Thriller",Alfred Hitchcock
113,Drama,Bernardo Bertolucci
98,"Adventure, Family, Fantasy",Rob Reiner
122,Drama,Sanjay Leela Bhansali
126,"Adventure, Drama, Western",John Huston
94,"Comedy, Drama, Romance",Wes Anderson
212,"Adventure, Drama, History",William Wyler
144,"Drama, History, War",Ridley Scott
105,"Drama, Horror, Thriller",Roman Polanski
139,"Comedy, Drama, Romance",James L. Brooks
123,"Drama, Mystery, Romance",Joe Wright
101,"Animation, Adventure, Comedy",Wes Anderson
68,"Comedy, Drama, Family",Charles Chaplin
112,"Biography, Drama",Julian Schnabel
110,Drama,Andrey Zvyagintsev
95,"Crime, Drama, Film-Noir",Orson Welles
155,"Crime, Drama",Jacques Audiard
95,"Animation, Comedy, Crime",Pierre Coffin
153,"Action, Drama, History",Steven Spielberg
129,Drama,Sidney Lumet
90,"Crime, Drama, Thriller",Shane Meadows
147,"Action, Crime, Drama",Gayatri
122,Drama,Elia Kazan
133,"Action, Adventure, Drama",Howard Hawks
122,"Crime, Drama, Thriller",Ethan Coen
128,"Crime, Drama, Thriller",Yavuz Turgul
124,"Comedy, Drama",Amit Ravindernath Sharma
118,"Comedy, Drama",Matt Ross
87,"Comedy, Drama, Romance",Charles Chaplin
229,"Crime, Drama",Sergio Leone
134,"Biography, Drama, Music",Bryan Singer
142,"Drama, Thriller, War",Elem Klimov
145,"Drama, Thriller, War",Paul Verhoeven
144,"Adventure, Drama, Sci-Fi",Ridley Scott
170,"Drama, War",Terrence Malick
106,Drama,Alfonso Cuarón
90,"Animation, Adventure, Comedy",Satoshi Kon
112,"Comedy, Romance",George Cukor
137,"Comedy, Drama, Romance",Jae-young Kwak
96,"Drama, Fantasy, History",Ingmar Bergman
129,"Comedy, Drama",Frank Capra
205,"Biography, Drama, History",Andrei Tarkovsky
161,"Action, Biography, Drama",Nitesh Tiwari
96,"Drama, Film-Noir",Alexander Mackendrick
81,"Animation, Comedy, Fantasy",Trey Parker
129,"Crime, Drama, Mystery",Bong Joon Ho
126,"Adventure, Biography, Drama",Walter Salles
124,Drama,Robert Redford
113,"Drama, Mystery, Sci-Fi",Richard Kelly
110,"Comedy, Drama",Wes Anderson
136,"Action, Adventure, Comedy",James Gunn
126,"Drama, Romance, Sci-Fi",Spike Jonze
116,"Comedy, Drama, Romance",Hannes Holm
102,"Drama, Mystery, Thriller",Aneesh Chaganty
113,"Comedy, Mystery, Romance",Stanley Donen
186,"Biography, Drama, Sport",Rakeysh Omprakash Mehra
89,"Drama, Family, Sport",Majid Majidi
110,"Drama, Western",Ethan Coen
96,"Comedy, Music, Musical",Sam Wood
89,Drama,Vittorio De Sica
123,Drama,Asghar Farhadi
97,"Comedy, Crime, Drama",Martin Scorsese
131,"Drama, History, War",Jean-Jacques Annaud
